average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_change,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
1.8731129,-0.016995061193592845,4.7171125,0.39298368453979493,0.21252180343227728,314.06,13.64,326.72,15.63,0.7231348192753402,860,2856,119.0,30464,974848
1.9090867,-0.016296892454847695,4.383695,0.39188074827194214,0.21357027898054748,310.43,14.44,315.94,14.41,0.8261270758126171,855,2880,120.0,30720,983040
1.908681,-0.015459843520075083,3.9677587,0.3859660762548447,0.21273498540921582,321.48,15.03,310.17,13.93,0.8119053325278179,859,2904,121.0,30976,991232
1.8896244,-0.01737494538538158,4.3049765,0.38632122427225113,0.2140552713535726,324.49,15.92,320.78,15.34,0.8251412648486282,851,2928,122.0,31232,999424
1.933106,-0.018785106604918837,4.263219,0.3377979126572609,0.21607478448588932,334.61,17.57,328.58,15.99,0.8006516226795702,859,2952,123.0,31488,1007616
1.9675242,-0.019820159026421605,3.9088058,0.32180711060762407,0.217850401088418,336.68,17.18,332.36,16.05,0.784717826833464,861,2976,124.0,31744,1015808
1.81791,-0.019584341873414814,4.859043,0.3324673411250114,0.22017085556650445,321.56,15.68,337.34,16.18,0.7820291991543731,860,3000,125.0,32000,1024000
1.8621984,-0.020057147489860653,4.46323,0.3190835317969322,0.2211639324114436,314.03,14.62,335.94,15.39,0.8077027549408294,860,3024,126.0,32256,1032192
1.9207988,-0.02173593981191516,4.6890087,0.32808240085840223,0.223072029118027,304.92,13.23,331.65,15.27,0.771817033027753,856,3048,127.0,32512,1040384
1.9503876,-0.022352195726707578,4.3077617,0.3466996678709984,0.226702106540047,297.4,12.13,342.69,16.5,0.7309328800188232,860,3072,128.0,32768,1048576
1.9138635,-0.022144878203980624,4.832881,0.33019680887460706,0.22924714205077007,302.93,12.61,348.98,17.83,0.8186338251487371,860,3096,129.0,33024,1056768
1.897918,-0.020009643929079175,4.456315,0.3316717460751534,0.23058515352507433,313.62,14.63,349.69,18.21,0.8445834876555497,860,3120,130.0,33280,1064960
1.9611583,-0.018761769789271056,4.886609,0.3345396536588669,0.23066647439485505,328.02,15.99,340.35,17.42,0.8052838354892049,852,3144,131.0,33536,1073152
2.0670047,-0.01916674287058413,3.8304002,0.3171373251080513,0.23058084793211447,343.42,18.12,332.99,16.66,0.7949330732779352,861,3168,132.0,33792,1081344
1.9866529,-0.018445640578866006,4.285786,0.32636083871126176,0.23142574217525266,342.53,17.65,314.66,15.06,0.797475570952275,861,3192,133.0,34048,1089536
1.9600837,-0.020466256141662597,4.4844103,0.32047606468200684,0.23233823584658758,339.34,16.61,313.79,15.62,0.7711228640574976,859,3216,134.0,34304,1097728
1.9720689,-0.018556561213918032,4.897952,0.31846927642822265,0.23287856046642577,334.64,16.32,315.8,16.88,0.7629781028749396,862,3240,135.0,34560,1105920
1.9622165,-0.0189922716608271,4.7246594,0.3125038015842438,0.23383624789615473,339.8,16.95,321.38,17.28,0.8129427261501679,862,3264,136.0,34816,1114112
